               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.025836,           0.0097724,            0.028996,             0.80367,             0.88937,             0.91737,             0.66031,            0.021446,           0.0029877,            0.010314,            0.007525,            0.007525,            0.007525
                  52,            0.024777,           0.0099786,            0.029677,             0.80448,             0.88007,             0.91402,             0.72908,            0.015652,           0.0026944,            0.010063,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025217,           0.0098099,            0.030234,             0.80304,             0.88937,             0.92502,             0.68789,            0.016899,           0.0028524,           0.0097084,            0.007426,            0.007426,            0.007426
                  54,            0.025229,            0.010059,             0.02925,             0.86089,             0.87546,             0.93492,             0.71154,            0.015826,           0.0030609,            0.010265,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025289,           0.0095601,            0.028177,             0.80214,             0.88517,             0.93134,             0.70657,            0.018769,           0.0028887,            0.010649,            0.007327,            0.007327,            0.007327
                  56,            0.025542,           0.0095764,            0.028065,             0.80598,             0.88803,             0.91928,              0.7476,            0.014388,            0.002876,            0.010349,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024292,           0.0098314,            0.025909,             0.82508,             0.92013,             0.93078,             0.67337,            0.016892,            0.002895,            0.007842,            0.007228,            0.007228,            0.007228
                  58,            0.024558,           0.0094021,            0.026595,             0.82945,             0.92554,             0.94621,             0.73417,            0.017254,           0.0028067,            0.007196,           0.0071785,           0.0071785,           0.0071785
                  59,            0.023984,           0.0094596,            0.025474,             0.88511,             0.82587,              0.9252,             0.70971,            0.016144,           0.0028247,           0.0092624,            0.007129,            0.007129,            0.007129
                  60,            0.023657,           0.0097026,            0.025969,             0.80437,             0.90537,             0.94425,             0.73306,            0.015459,           0.0028492,           0.0079547,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024151,           0.0093671,             0.02625,             0.85693,             0.81653,             0.91466,             0.73107,            0.014265,           0.0026462,           0.0086079,             0.00703,             0.00703,             0.00703
                  62,            0.024003,           0.0092013,            0.025114,             0.81468,             0.86938,             0.91013,             0.73626,            0.014825,           0.0025863,           0.0086368,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023946,           0.0091796,            0.024034,             0.81256,             0.92013,             0.93129,             0.70635,            0.015821,           0.0029001,           0.0072934,            0.006931,            0.006931,            0.006931
                  64,            0.024496,           0.0094857,            0.023832,              0.8084,             0.89721,             0.92257,             0.73182,            0.014316,           0.0029519,           0.0099393,           0.0068815,           0.0068815,           0.0068815
                  65,            0.024014,           0.0094527,            0.024794,             0.89587,             0.88964,             0.93263,             0.74884,            0.015917,           0.0028444,           0.0073942,            0.006832,            0.006832,            0.006832
                  66,            0.023848,           0.0092578,            0.025113,             0.85353,             0.85478,             0.92788,             0.71506,            0.017137,           0.0028768,             0.01102,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024749,           0.0092222,            0.024834,             0.89112,             0.86302,             0.93956,             0.71933,            0.016494,           0.0029466,           0.0081994,            0.006733,            0.006733,            0.006733
                  68,            0.023661,           0.0094191,            0.024827,             0.86484,              0.8538,             0.94117,              0.7416,            0.014773,           0.0027952,           0.0090535,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023853,           0.0094229,            0.025347,             0.85925,             0.89816,              0.9487,             0.75284,            0.016162,           0.0027802,           0.0075959,            0.006634,            0.006634,            0.006634
                  70,            0.024465,           0.0093006,            0.024134,             0.86412,             0.85108,             0.92827,             0.69584,            0.016928,            0.002731,           0.0097943,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023464,           0.0094699,            0.022941,             0.90058,             0.90141,              0.9362,             0.71192,            0.016855,           0.0026983,           0.0074296,            0.006535,            0.006535,            0.006535
                  72,            0.023679,           0.0092343,             0.02412,             0.87054,             0.89679,             0.94595,             0.74255,            0.016521,           0.0029539,           0.0084846,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023396,           0.0095228,            0.023059,             0.85667,             0.85917,             0.92921,             0.73137,             0.01506,           0.0027345,           0.0079626,            0.006436,            0.006436,            0.006436
                  74,            0.023449,           0.0094283,            0.024427,             0.82859,             0.90458,             0.92951,             0.70794,            0.016106,           0.0028333,           0.0082391,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023028,           0.0096482,            0.023006,             0.88034,             0.89221,             0.92905,             0.74936,            0.015011,           0.0026775,           0.0090519,            0.006337,            0.006337,            0.006337
                  76,            0.024011,           0.0091928,            0.022137,              0.8794,             0.87628,             0.92882,             0.73458,            0.015532,           0.0027851,           0.0093912,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022907,           0.0089839,            0.021414,              0.8807,              0.8772,              0.9208,             0.72253,             0.01503,           0.0026243,           0.0090997,            0.006238,            0.006238,            0.006238
                  78,            0.023098,           0.0091757,            0.022102,              0.8931,             0.87046,             0.93264,             0.73842,             0.01522,           0.0028498,           0.0084287,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023682,           0.0092262,            0.022818,             0.89316,             0.89078,              0.9503,             0.78136,            0.013481,           0.0027576,           0.0074081,            0.006139,            0.006139,            0.006139
                  80,            0.022858,           0.0090253,            0.021908,             0.89859,             0.87273,             0.96135,             0.76507,            0.015208,           0.0027334,            0.008991,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023042,           0.0089127,              0.0203,             0.86919,             0.88409,             0.94472,             0.73369,            0.017013,           0.0028357,           0.0084311,             0.00604,             0.00604,             0.00604
                  82,            0.022548,           0.0091744,            0.020193,             0.92469,             0.87069,             0.94516,             0.73778,            0.015934,           0.0027938,           0.0082532,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022296,           0.0091224,            0.021759,             0.89111,             0.85107,             0.92898,             0.73821,            0.015584,           0.0026971,           0.0086399,            0.005941,            0.005941,            0.005941
                  84,            0.022744,           0.0091464,             0.02127,             0.87225,             0.86214,             0.92664,             0.71553,            0.016122,           0.0027941,           0.0071371,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022682,           0.0088059,            0.021538,             0.86573,             0.87175,             0.91634,             0.71813,            0.014823,           0.0026811,           0.0087843,            0.005842,            0.005842,            0.005842
                  86,            0.022491,           0.0089436,            0.019988,             0.84477,             0.86596,             0.92523,             0.73455,            0.014441,           0.0026478,            0.011721,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022713,           0.0088067,            0.022098,              0.8843,              0.8754,             0.92705,               0.728,            0.015653,           0.0026679,           0.0092697,            0.005743,            0.005743,            0.005743
                  88,            0.021346,           0.0087889,            0.019544,             0.93086,             0.87705,             0.94826,             0.71693,            0.015806,           0.0028974,           0.0079968,           0.0056935,           0.0056935,           0.0056935
                  89,            0.022721,           0.0089284,            0.019376,             0.91271,             0.86829,             0.94142,             0.75944,            0.014435,           0.0027905,           0.0082098,            0.005644,            0.005644,            0.005644
                  90,            0.021731,           0.0086496,            0.020439,             0.92488,             0.87291,             0.94651,             0.74981,             0.01472,           0.0026718,           0.0074976,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021976,           0.0087767,             0.01951,             0.90144,             0.87665,             0.95057,             0.74673,            0.015354,           0.0026463,           0.0072493,            0.005545,            0.005545,            0.005545
                  92,            0.022334,           0.0090525,            0.019766,             0.89367,             0.87391,              0.9288,             0.73939,             0.01441,           0.0026674,           0.0086711,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021776,           0.0087103,            0.018275,             0.87876,             0.88479,             0.93224,             0.75177,             0.01448,           0.0026202,           0.0076202,            0.005446,            0.005446,            0.005446
                  94,            0.021782,           0.0086356,            0.018061,             0.90325,             0.86487,              0.9421,             0.76604,            0.014167,           0.0026235,           0.0082876,           0.0053965,           0.0053965,           0.0053965
                  95,            0.021795,           0.0087209,             0.01808,              0.8976,             0.84852,             0.92605,             0.74033,            0.015378,           0.0026129,            0.009746,            0.005347,            0.005347,            0.005347
                  96,             0.02165,           0.0087487,            0.019703,             0.86885,             0.89713,             0.93788,             0.75607,            0.014574,           0.0026293,           0.0075167,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022158,           0.0088617,            0.018665,             0.88883,             0.86668,              0.9366,             0.77205,            0.014331,           0.0025294,           0.0084411,            0.005248,            0.005248,            0.005248
                  98,            0.021078,           0.0089442,            0.019221,             0.91717,             0.87893,             0.94112,             0.75633,             0.01465,            0.002593,           0.0082471,           0.0051985,           0.0051985,           0.0051985
                  99,            0.021926,           0.0085575,            0.019457,             0.90328,             0.86297,             0.94452,             0.73191,            0.015703,           0.0026453,           0.0084077,            0.005149,            0.005149,            0.005149
                 100,            0.021882,           0.0087589,            0.018301,             0.93343,             0.86619,             0.95525,             0.75193,            0.014931,           0.0026997,           0.0056951,           0.0050995,           0.0050995,           0.0050995
                 101,            0.021554,           0.0087164,            0.018418,             0.91438,             0.88253,              0.9389,               0.742,            0.015291,           0.0025809,           0.0075018,             0.00505,             0.00505,             0.00505
                 102,            0.021197,           0.0088755,            0.018578,             0.91063,             0.87932,             0.93274,             0.76085,            0.015153,           0.0025117,           0.0069543,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022105,           0.0086965,            0.017243,             0.89694,             0.86884,             0.94463,             0.74213,            0.015595,           0.0026822,           0.0080744,            0.004951,            0.004951,            0.004951
                 104,            0.021306,           0.0084139,            0.017099,             0.91017,             0.84993,             0.95737,             0.76214,            0.015378,           0.0026035,            0.008441,           0.0049015,           0.0049015,           0.0049015
                 105,            0.021101,           0.0085824,            0.017143,             0.91637,             0.89514,             0.95875,             0.76896,            0.014798,           0.0025465,           0.0076195,            0.004852,            0.004852,            0.004852
                 106,            0.020822,           0.0088243,            0.017492,             0.89797,             0.87411,             0.95149,             0.76074,            0.014127,           0.0026003,           0.0088408,           0.0048025,           0.0048025,           0.0048025
                 107,            0.020651,           0.0085732,            0.016387,             0.90869,             0.86838,             0.93249,             0.75121,            0.014593,           0.0025621,            0.010326,            0.004753,            0.004753,            0.004753
                 108,            0.021302,           0.0085138,            0.018584,             0.85967,             0.88547,             0.91937,             0.73374,            0.014554,           0.0024792,           0.0094066,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021107,           0.0085622,            0.016849,             0.90889,             0.86164,             0.93835,             0.75036,            0.014615,           0.0025232,           0.0097591,            0.004654,            0.004654,            0.004654
                 110,            0.021465,           0.0085907,            0.017977,             0.90822,             0.87427,             0.93391,             0.75304,            0.014495,           0.0024831,           0.0078446,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020687,           0.0085169,            0.016255,             0.87653,             0.89029,               0.936,             0.73657,            0.015899,           0.0025035,           0.0091588,            0.004555,            0.004555,            0.004555
                 112,            0.021198,            0.008748,            0.016895,             0.91794,             0.86264,             0.94359,             0.76022,            0.014923,           0.0025414,           0.0086071,           0.0045055,           0.0045055,           0.0045055
                 113,             0.02083,           0.0086007,            0.016972,             0.84606,             0.88589,             0.93595,             0.73345,            0.014988,           0.0026452,           0.0093811,            0.004456,            0.004456,            0.004456
                 114,            0.020885,           0.0083192,              0.0166,             0.91184,             0.90251,             0.94254,              0.7482,            0.015572,            0.002525,           0.0077611,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020853,           0.0083323,            0.017497,             0.91933,             0.87468,             0.95916,             0.76676,            0.014357,           0.0024391,           0.0069337,            0.004357,            0.004357,            0.004357
                 116,             0.02078,           0.0084224,            0.016125,             0.91831,             0.88877,             0.94929,             0.76732,            0.014078,           0.0025398,           0.0077222,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019934,           0.0084449,            0.015116,             0.88872,             0.87852,             0.95251,             0.75282,            0.015007,           0.0026509,           0.0081789,            0.004258,            0.004258,            0.004258
                 118,            0.020127,           0.0084311,             0.01458,             0.90237,             0.88756,             0.94403,             0.75913,            0.014785,           0.0025011,           0.0081529,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019772,           0.0084713,            0.015044,             0.91745,             0.88153,             0.94659,             0.76402,            0.014649,           0.0024536,           0.0065092,            0.004159,            0.004159,            0.004159
                 120,            0.019896,           0.0084008,            0.015601,             0.86625,             0.90141,             0.93939,             0.73711,            0.015701,           0.0025892,           0.0073063,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020063,           0.0083948,             0.01519,             0.90257,             0.89163,             0.93768,             0.74548,            0.014974,           0.0025446,           0.0072397,             0.00406,             0.00406,             0.00406
                 122,            0.020198,           0.0081666,            0.016419,             0.90492,             0.87385,             0.94293,             0.76038,            0.014917,           0.0025772,           0.0071843,           0.0040105,           0.0040105,           0.0040105
                 123,             0.02036,           0.0082583,            0.015588,             0.90027,             0.89641,             0.95812,             0.76155,            0.014313,           0.0025454,           0.0072265,            0.003961,            0.003961,            0.003961
                 124,            0.019999,           0.0084467,            0.015872,             0.91603,             0.87327,              0.9497,             0.75672,            0.014466,           0.0024953,           0.0079697,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020052,            0.008338,            0.015415,             0.90298,             0.89585,             0.95958,             0.77311,            0.015355,           0.0026127,           0.0071937,            0.003862,            0.003862,            0.003862
                 126,            0.019524,           0.0080756,            0.014617,             0.87278,             0.88462,             0.94504,             0.75133,            0.015437,           0.0026886,            0.007209,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020315,           0.0082044,            0.015073,             0.90139,             0.87215,              0.9416,             0.74453,            0.015426,           0.0027286,           0.0074601,            0.003763,            0.003763,            0.003763
                 128,            0.019957,           0.0083259,            0.014565,             0.89328,              0.8672,             0.94095,              0.7585,            0.014751,           0.0025421,            0.007289,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019324,           0.0081084,            0.013783,             0.92747,             0.88298,             0.95287,             0.75503,            0.015665,           0.0025618,           0.0054703,            0.003664,            0.003664,            0.003664
                 130,            0.019769,           0.0084818,            0.013224,             0.92172,             0.87059,             0.94804,             0.75413,            0.014901,            0.002527,           0.0065717,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019307,           0.0081061,            0.013599,             0.90283,             0.87898,             0.94814,             0.75572,            0.014843,           0.0025628,           0.0072069,            0.003565,            0.003565,            0.003565
                 132,            0.019359,           0.0082575,            0.013495,             0.90297,             0.88767,             0.94497,             0.75903,            0.014372,           0.0025298,           0.0075353,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019255,           0.0081391,            0.014342,             0.91236,              0.8679,             0.94689,             0.75357,             0.01474,           0.0025547,           0.0083579,            0.003466,            0.003466,            0.003466
                 134,            0.020117,           0.0083906,            0.014207,             0.90563,             0.87525,             0.93701,             0.75187,            0.014463,           0.0025024,           0.0085877,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019166,           0.0082405,            0.013411,             0.90311,             0.88517,             0.94864,             0.74352,             0.01474,           0.0024646,           0.0082375,            0.003367,            0.003367,            0.003367
                 136,            0.018776,           0.0078374,             0.01356,             0.91466,             0.88361,             0.94625,             0.74381,             0.01553,           0.0025494,           0.0081555,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019087,           0.0081047,            0.013471,             0.89241,             0.87481,             0.95104,             0.76219,            0.014576,           0.0024762,            0.007684,            0.003268,            0.003268,            0.003268
                 138,            0.019296,           0.0079034,            0.012948,              0.8713,             0.89892,             0.95257,             0.76944,            0.014219,           0.0025111,           0.0077316,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019164,           0.0079477,            0.012806,              0.8994,             0.87078,             0.94699,             0.75544,             0.01447,           0.0025125,           0.0067979,            0.003169,            0.003169,            0.003169
                 140,            0.018916,           0.0078865,            0.011973,             0.89464,               0.862,             0.93135,              0.7459,            0.014878,           0.0025016,           0.0081174,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019312,           0.0081409,              0.0137,             0.87426,             0.88427,             0.93246,             0.74449,            0.015275,            0.002496,           0.0080522,             0.00307,             0.00307,             0.00307
